date,GISTemp,HadCRUT4,NCDC,Berkeley,Cowtan and Way
1862.67,,-0.42,,-0.675,-0.381
1862.75,,-0.42,,-0.558,-0.471
1862.83,,-0.766,,-0.759,-0.655
1862.92,,-0.887,,-1.011,-1.054
1863,,0.122,,-0.119,-0.328
1863.08,,-0.024,,-0.29,-0.371
1863.17,,-0.365,,-0.36,-0.538
1863.25,,-0.244,,-0.336,-0.352
1863.33,,-0.329,,-0.286,-0.359
1863.42,,-0.402,,-0.504,-0.426
1863.5,,-0.423,,-0.46,-0.268
1863.58,,-0.326,,-0.486,-0.354
1863.67,,-0.316,,-0.577,-0.317
1863.75,,-0.384,,-0.473,-0.46
1863.83,,-0.329,,-0.43,-0.475
1863.92,,-0.341,,-0.334,-0.426
1864,,-0.941,,-0.561,-0.894
1864.08,,-0.632,,-0.547,-0.652
1864.17,,-0.507,,-0.503,-0.524
1864.25,,-0.548,,-0.409,-0.585
1864.33,,-0.454,,-0.27,-0.297
1864.42,,-0.165,,-0.184,-0.157
1864.5,,-0.159,,-0.262,-0.234
1864.58,,-0.311,,-0.43,-0.337
1864.67,,-0.445,,-0.595,-0.469
1864.75,,-0.706,,-0.376,-0.61
1864.83,,-0.472,,-0.42,-0.356
1864.92,,-0.615,,-0.524,-0.633
1865,,-0.101,,0.029,-0.235
1865.08,,-0.615,,-0.48,-0.48
1865.17,,-0.646,,-0.597,-0.727
1865.25,,-0.236,,-0.495,-0.47
1865.33,,-0.265,,-0.384,-0.354
1865.42,,-0.285,,-0.238,-0.216
1865.5,,-0.136,,-0.263,-0.258
1865.58,,-0.21,,-0.29,-0.227
1865.67,,-0.085,,-0.277,-0.173
1865.75,,-0.27,,-0.299,-0.252
1865.83,,-0.2,,-0.23,-0.362
1865.92,,-0.342,,-0.499,-0.423
1866,,0.037,,-0.011,-0.228
1866.08,,-0.216,,-0.385,-0.34
1866.17,,-0.596,,-0.476,-0.573
1866.25,,-0.265,,-0.544,-0.544
1866.33,,-0.53,,-0.377,-0.528
1866.42,,0.098,,-0.261,-0.054
1866.5,,0.018,,0.042,0.002
1866.58,,-0.273,,-0.276,-0.225
1866.67,,-0.232,,-0.447,-0.39
1866.75,,-0.425,,-0.425,-0.398
1866.83,,-0.309,,-0.234,-0.247
1866.92,,-0.334,,0.036,-0.235
1867,,-0.313,,-0.211,-0.316
1867.08,,0.007,,-0.424,-0.418
1867.17,,-0.714,,-0.389,-0.701
1867.25,,-0.266,,-0.269,-0.448
1867.33,,-0.546,,-0.538,-0.604
1867.42,,-0.304,,-0.361,-0.396
1867.5,,-0.247,,-0.364,-0.304
1867.58,,-0.234,,-0.459,-0.391
1867.67,,-0.103,,-0.321,-0.155
1867.75,,-0.186,,-0.083,-0.168
1867.83,,-0.314,,0.236,-0.102
1867.92,,-0.628,,-0.154,-0.368
1868,,-0.7,,-0.56,-0.707
1868.08,,-0.471,,-0.677,-0.731
1868.17,,-0.079,,-0.416,-0.384
1868.25,,-0.381,,-0.198,-0.316
1868.33,,-0.077,,-0.119,-0.194
1868.42,,-0.178,,-0.223,-0.167
1868.5,,0.138,,0.006,0.073
1868.58,,-0.041,,-0.104,-0.08
1868.67,,-0.202,,-0.262,-0.228
1868.75,,-0.238,,-0.009,-0.141
1868.83,,-0.505,,-0.38,-0.334
1868.92,,-0.131,,-0.16,-0.159
1869,,-0.249,,-0.233,-0.342
1869.08,,0.258,,0.08,0.053
1869.17,,-0.591,,-0.432,-0.659
1869.25,,-0.221,,-0.347,-0.368
1869.33,,-0.281,,-0.248,-0.32
1869.42,,-0.376,,-0.297,-0.321
1869.5,,-0.293,,-0.375,-0.37
1869.58,,-0.084,,-0.273,-0.133
1869.67,,-0.196,,-0.169,-0.202
1869.75,,-0.417,,-0.238,-0.25
1869.83,,-0.371,,-0.189,-0.236
1869.92,,-0.358,,-0.504,-0.507
1870,,-0.082,,-0.35,-0.264
1870.08,,-0.453,,-0.537,-0.542
1870.17,,-0.4,,-0.347,-0.466
1870.25,,-0.206,,-0.356,-0.34
1870.33,,-0.168,,-0.27,-0.327
1870.42,,-0.216,,-0.208,-0.2
1870.5,,0.018,,-0.152,-0.038
1870.58,,-0.259,,-0.35,-0.304
1870.67,,-0.264,,-0.262,-0.219
1870.75,,-0.403,,-0.393,-0.364
1870.83,,-0.17,,-0.392,-0.336
1870.92,,-0.72,,-0.657,-0.686
1871,,-0.528,,-0.516,-0.585
1871.08,,-0.548,,-0.606,-0.589
1871.17,,0.003,,-0.293,-0.262
1871.25,,-0.139,,-0.146,-0.216
1871.33,,-0.309,,-0.344,-0.395
1871.42,,-0.222,,-0.291,-0.228
1871.5,,-0.013,,-0.238,-0.062
1871.58,,-0.221,,-0.257,-0.212
1871.67,,-0.453,,-0.451,-0.366
1871.75,,-0.48,,-0.297,-0.43
1871.83,,-0.538,,-0.488,-0.55
1871.92,,-0.561,,-0.339,-0.462
1872,,-0.31,,-0.502,-0.582
1872.08,,-0.405,,-0.485,-0.522
1872.17,,-0.47,,-0.355,-0.479
1872.25,,-0.15,,-0.404,-0.391
1872.33,,-0.041,,-0.249,-0.166
1872.42,,-0.205,,-0.323,-0.311
1872.5,,-0.113,,-0.154,-0.083
1872.58,,-0.027,,-0.071,-0.011
1872.67,,-0.128,,-0.214,-0.157
1872.75,,-0.227,,-0.196,-0.194
1872.83,,-0.244,,-0.415,-0.324
1872.92,,-0.426,,-0.499,-0.563
1873,,-0.03,,-0.302,-0.238
1873.08,,-0.344,,-0.143,-0.274
1873.17,,-0.29,,-0.347,-0.382
1873.25,,-0.524,,-0.546,-0.502
1873.33,,-0.412,,-0.339,-0.339
1873.42,,-0.257,,-0.301,-0.254
1873.5,,-0.15,,-0.204,-0.184
1873.58,,-0.159,,-0.184,-0.131
1873.67,,-0.355,,-0.41,-0.365
1873.75,,-0.401,,-0.259,-0.309
1873.83,,-0.464,,-0.365,-0.412
1873.92,,-0.272,,-0.263,-0.204
1874,,0.063,,-0.235,-0.224
1874.08,,-0.435,,-0.363,-0.441
1874.17,,-0.556,,-0.724,-0.701
1874.25,,-0.504,,-0.458,-0.44
1874.33,,-0.467,,-0.303,-0.37
1874.42,,-0.457,,-0.391,-0.602
1874.5,,-0.169,,-0.357,-0.211
1874.58,,-0.363,,-0.233,-0.264
1874.67,,-0.204,,-0.233,-0.168
1874.75,,-0.433,,-0.345,-0.468
1874.83,,-0.501,,-0.44,-0.46
1874.92,,-0.404,,-0.32,-0.308
1875,,-0.571,,-0.498,-0.557
1875.08,,-0.597,,-0.475,-0.505
1875.17,,-0.597,,-0.507,-0.604
1875.25,,-0.466,,-0.432,-0.457
1875.33,,-0.175,,-0.351,-0.3
1875.42,,-0.233,,-0.336,-0.278
1875.5,,-0.299,,-0.304,-0.222
1875.58,,-0.18,,-0.271,-0.154
1875.67,,-0.268,,-0.321,-0.18
1875.75,,-0.363,,-0.233,-0.226
1875.83,,-0.503,,-0.614,-0.495
1875.92,,-0.506,,-0.534,-0.563
1876,,-0.315,,-0.446,-0.516
1876.08,,-0.279,,-0.412,-0.334
1876.17,,-0.388,,-0.424,-0.382
1876.25,,-0.298,,-0.357,-0.391
1876.33,,-0.533,,-0.636,-0.563
1876.42,,-0.282,,-0.406,-0.326
1876.5,,-0.137,,-0.225,-0.046
1876.58,,-0.248,,-0.365,-0.238
1876.67,,-0.436,,-0.377,-0.319
1876.75,,-0.388,,-0.384,-0.335
1876.83,,-0.586,,-0.593,-0.586
1876.92,,-0.716,,-0.632,-0.652
1877,,-0.327,,-0.251,-0.408
1877.08,,0.049,,-0.088,-0.235
1877.17,,-0.28,,0.016,-0.077
1877.25,,-0.321,,-0.193,-0.287
1877.33,,-0.454,,-0.22,-0.38
1877.42,,-0.092,,-0.127,-0.037
1877.5,,0.013,,0.091,0.001
1877.58,,0.147,,0.155,0.251
1877.67,,0.028,,0.065,0.108
1877.75,,0.062,,0.089,0.123
1877.83,,0.096,,0.191,0.09
1877.92,,0.17,,-0.048,-0.142
1878,,0.174,,-0.074,-0.101
1878.08,,0.403,,0.291,0.22
1878.17,,0.343,,0.487,0.277
1878.25,,0.319,,0.248,0.178
1878.33,,-0.082,,-0.119,-0.147
1878.42,,0.019,,0.027,0.042
1878.5,,-0.049,,0.006,-0.001
1878.58,,-0.023,,0.03,0.02
1878.67,,0.017,,-0.072,0.066
1878.75,,-0.122,,-0.056,-0.07
1878.83,,-0.2,,0.017,-0.136
1878.92,,-0.356,,-0.164,-0.324
1879,,-0.193,,-0.177,-0.177
1879.08,,-0.149,,-0.212,-0.273
1879.17,,-0.094,,-0.204,-0.139
1879.25,,-0.214,,-0.317,-0.389
1879.33,,-0.212,,-0.311,-0.307
1879.42,,-0.27,,-0.236,-0.298
1879.5,,-0.23,,-0.256,-0.224
1879.58,,-0.167,,-0.309,-0.175
1879.67,,-0.215,,-0.337,-0.229
1879.75,,-0.122,,-0.181,-0.103
1879.83,,-0.39,,-0.283,-0.294
1879.92,,-0.515,,-0.455,-0.542
1880,-0.31,-0.067,-0.01,-0.467,-0.419
1880.08,-0.2,-0.173,-0.13,-0.528,-0.388
1880.17,-0.12,-0.104,-0.14,-0.27,-0.179
1880.25,-0.21,-0.15,-0.06,-0.371,-0.29
1880.33,-0.13,-0.244,-0.08,-0.249,-0.238
1880.42,-0.25,-0.307,-0.18,-0.308,-0.289
1880.5,-0.22,-0.247,-0.16,-0.297,-0.279
1880.58,-1.10E-01,-0.116,-0.09,-0.196,-0.128
1880.67,-0.17,-0.235,-0.09,-0.416,-0.3
1880.75,-0.25,-0.386,-0.19,-0.36,-0.396
1880.83,-0.21,-0.408,-0.28,-0.206,-0.245
1880.92,-0.24,-0.294,-0.09,-0.306,-0.336
1881,-1.70E-01,-0.353,-0.03,-0.157,-0.231
1881.08,-0.19,-0.234,-0.03,-0.224,-0.23
1881.17,2.00E-02,-0.181,0.02,-0.114,-0.217
1881.25,3.00E-02,-0.131,0.06,-0.055,-0.075
1881.33,1.00E-02,-0.03,0.02,-0.112,-0.114
1881.42,-0.21,-0.23,-0.11,-0.397,-0.388
1881.5,-8.00E-02,-0.148,-0.05,-0.216,-0.23
1881.58,-3.00E-02,-0.123,-0.06,-0.217,-0.127
1881.67,-1.50E-01,-0.24,-0.18,-0.369,-0.273
1881.75,-0.22,-0.275,-0.23,-0.283,-0.263
1881.83,-0.23,-0.334,-0.23,-0.44,-0.38
1881.92,-0.12,-0.13,-0.06,-0.287,-0.232
1882,1.30E-01,0.125,0.08,0.039,0.032
1882.08,1.30E-01,-0.008,0.02,-0.03,-0.042
1882.17,3.00E-02,-0.051,0.07,-0.136,-0.15
1882.25,-0.2,-0.283,-0.13,-0.29,-0.365
1882.33,-0.17,-0.372,-0.16,-0.282,-0.405
1882.42,-0.27,-0.315,-0.15,-0.365,-0.398
1882.5,-0.22,-0.187,-0.08,-0.367,-0.303
1882.58,-7.00E-02,-0.221,-0.02,-0.212,-0.193
1882.67,-1.10E-01,-0.156,0,-0.258,-0.156
1882.75,-0.26,-0.329,-0.22,-0.39,-0.404
1882.83,-0.17,-0.312,-0.14,-0.466,-0.401
1882.92,-0.26,-0.471,-0.18,-0.6,-0.678
1883,-0.33,-0.4,-0.27,-0.467,-0.494
1883.08,-0.4,-0.321,-0.3,-0.521,-0.46
1883.17,-0.14,-0.346,-0.14,-0.176,-0.232
1883.25,-0.18,-0.397,-0.18,-0.395,-0.418
1883.33,-0.21,-0.256,-0.15,-0.273,-0.297
1883.42,-0.14,-0.124,-0.01,-0.153,-0.206
1883.5,-9.00E-02,-0.2,-0.09,-0.289,-0.261
1883.58,-0.16,-0.21,-0.06,-0.37,-0.284
1883.67,-0.22,-0.279,-0.16,-0.408,-0.304
1883.75,-0.16,-0.379,-0.17,-0.329,-0.332
1883.83,-0.24,-0.312,-0.18,-0.545,-0.466
1883.92,-0.17,-0.323,-0.08,-0.317,-0.355
1884,-0.17,-0.403,-0.19,-0.301,-0.382
1884.08,-0.1,-0.217,-0.16,-0.288,-0.265
1884.17,-0.38,-0.459,-0.22,-0.556,-0.572
1884.25,-0.44,-0.527,-0.19,-0.584,-0.64
1884.33,-0.38,-0.396,-0.14,-0.574,-0.574
1884.42,-0.42,-0.411,-0.21,-0.521,-0.519
1884.5,-0.36,-0.424,-0.31,-0.559,-0.572
1884.58,-0.27,-0.413,-0.28,-0.541,-0.454
1884.67,-0.28,-0.346,-0.23,-0.525,-0.489
1884.75,-0.25,-0.332,-0.18,-0.437,-0.457
1884.83,-0.31,-0.567,-0.28,-0.621,-0.642
1884.92,-0.29,-0.415,-0.16,-0.494,-0.487
1885,-0.6,-0.502,-0.43,-0.769,-0.698
1885.08,-0.31,-0.412,-0.27,-0.502,-0.49
1885.17,-0.26,-0.482,-0.16,-0.445,-0.501
1885.25,-0.43,-0.469,-0.26,-0.611,-0.646
1885.33,-0.43,-0.518,-0.29,-0.563,-0.616
1885.42,-0.45,-0.486,-0.32,-0.602,-0.648
1885.5,-0.36,-0.316,-0.25,-0.412,-0.395
1885.58,-0.32,-0.505,-0.25,-0.448,-0.451
1885.67,-0.24,-0.329,-0.21,-0.463,-0.36
1885.75,-0.21,-0.242,-0.14,-0.343,-0.333
1885.83,-0.21,-0.262,-0.13,-0.39,-0.448
1885.92,-0.06,-0.155,0.04,-0.211,-0.223
1886,-0.43,-0.396,-0.12,-0.649,-0.574
1886.08,-0.46,-0.47,-0.29,-0.688,-0.622
1886.17,-0.39,-0.412,-0.29,-0.583,-0.572
1886.25,-0.29,-0.338,-0.17,-0.473,-0.476
1886.33,-0.27,-0.188,-0.16,-0.325,-0.303
1886.42,-0.4,-0.382,-0.25,-0.51,-0.508
1886.5,-0.23,-0.28,-0.17,-0.331,-0.305
1886.58,-0.35,-0.335,-0.22,-0.445,-0.344
1886.67,-0.27,-0.432,-0.2,-0.5,-0.417
1886.75,-0.3,-0.361,-0.23,-0.464,-0.386
1886.83,-0.32,-0.423,-0.2,-0.606,-0.519
1886.92,-0.27,-0.42,-0.17,-0.486,-0.426
1887,-0.74,-0.566,-0.4,-1.021,-0.859
1887.08,-0.54,-0.556,-0.39,-0.796,-0.746
1887.17,-0.35,-0.457,-0.17,-0.543,-0.49
1887.25,-0.4,-0.435,-0.19,-0.437,-0.398
1887.33,-0.33,-0.355,-0.24,-0.441,-0.497
1887.42,-0.25,-0.404,-0.22,-0.473,-0.438
1887.5,-0.24,-0.274,-0.27,-0.368,-0.369
1887.58,-0.33,-0.362,-0.32,-0.55,-0.472
1887.67,-0.24,-0.337,-0.18,-0.429,-0.353
1887.75,-0.34,-0.499,-0.3,-0.432,-0.416
1887.83,-0.25,-0.404,-0.16,-0.419,-0.43
1887.92,-0.35,-0.395,-0.2,-0.438,-0.45
1888,-0.38,-0.591,-0.39,-0.42,-0.502
1888.08,-0.37,-0.44,-0.34,-0.579,-0.542
1888.17,-0.42,-0.534,-0.3,-0.521,-0.565
1888.25,-0.23,-0.238,-0.18,-0.393,-0.393
1888.33,-0.23,-0.347,-0.15,-0.395,-0.392
1888.42,-0.2,-0.292,-0.09,-0.335,-0.326
1888.5,-1.10E-01,-0.304,-0.12,-0.267,-0.292
1888.58,-1.70E-01,-0.278,-0.17,-0.294,-0.238
1888.67,-1.10E-01,-0.219,-0.07,-0.349,-0.297
1888.75,0.00E+00,-0.095,0.02,-0.086,-0.071
1888.83,0.00E+00,-0.194,-0.05,-0.181,-0.217
1888.92,-0.08,-0.169,0.04,-0.186,-0.249
1889,-0.12,-0.067,-0.1,-0.179,-0.205
1889.08,0.17,-0.082,0.01,0.159,0.073
1889.17,7.00E-02,-0.064,0.12,-0.001,-0.099
1889.25,6.00E-02,0.01,0.05,0.026,-0.035
1889.33,-4.00E-02,-0.08,-0.03,-0.153,-0.172
1889.42,-1.50E-01,-0.144,-0.07,-0.207,-0.143
1889.5,-1.10E-01,-0.191,-0.17,-0.168,-0.166
1889.58,-0.21,-0.22,-0.14,-0.296,-0.248
1889.67,-0.23,-0.381,-0.22,-0.42,-0.355
1889.75,-0.24,-0.298,-0.2,-0.288,-0.283
1889.83,-0.34,-0.398,-0.27,-0.519,-0.441
1889.92,-0.31,-0.179,-0.18,-0.408,-0.411
1890,-0.46,-0.329,-0.36,-0.575,-0.517
1890.08,-0.47,-0.368,-0.43,-0.514,-0.45
1890.17,-0.42,-0.463,-0.32,-0.595,-0.588
1890.25,-0.38,-0.324,-0.26,-0.481,-0.397
1890.33,-0.47,-0.417,-0.39,-0.503,-0.491
1890.42,-0.28,-0.371,-0.29,-0.434,-0.398
1890.5,-0.28,-0.405,-0.28,-0.406,-0.448
1890.58,-0.4,-0.416,-0.33,-0.474,-0.408
1890.67,-0.41,-0.473,-0.35,-0.525,-0.38
1890.75,-0.26,-0.498,-0.3,-0.315,-0.356
1890.83,-0.49,-0.555,-0.34,-0.622,-0.628
1890.92,-0.33,-0.411,-0.23,-0.399,-0.401
1891,-0.43,-0.512,-0.38,-0.501,-0.561
1891.08,-0.51,-0.474,-0.52,-0.632,-0.557
1891.17,-0.21,-0.363,-0.21,-0.239,-0.266
1891.25,-0.3,-0.358,-0.25,-0.388,-0.447
1891.33,-0.2,-0.199,-0.13,-0.273,-0.251
1891.42,-0.22,-0.288,-0.2,-0.379,-0.326
1891.5,-0.22,-0.323,-0.22,-0.395,-0.325
1891.58,-0.18,-0.313,-0.22,-0.339,-0.316
1891.67,-0.16,-0.193,-0.15,-0.279,-0.215
1891.75,-0.24,-0.322,-0.28,-0.361,-0.329
1891.83,-0.37,-0.541,-0.4,-0.543,-0.519
1891.92,-7.00E-02,-0.115,-0.05,-0.167,-0.255
1892,-0.3,-0.398,-0.23,-0.33,-0.415
1892.08,-0.13,-0.112,-0.13,-0.185,-0.192
1892.17,-0.37,-0.47,-0.31,-0.456,-0.548
1892.25,-0.36,-0.484,-0.31,-0.54,-0.563
1892.33,-0.26,-0.403,-0.29,-0.459,-0.458
1892.42,-0.25,-0.461,-0.28,-0.324,-0.432
1892.5,-0.34,-0.526,-0.35,-0.506,-0.554
1892.58,-0.27,-0.443,-0.33,-0.451,-0.489
1892.67,-0.14,-0.325,-0.22,-0.357,-0.281
1892.75,-0.14,-0.441,-0.25,-0.213,-0.335
1892.83,-0.43,-0.627,-0.47,-0.732,-0.635
1892.92,-0.4,-0.793,-0.47,-0.459,-0.724
1893,-0.81,-0.974,-0.68,-0.879,-0.919
1893.08,-0.56,-0.727,-0.61,-0.612,-0.69
1893.17,-0.25,-0.373,-0.23,-0.297,-0.372
1893.25,-0.31,-0.567,-0.34,-0.401,-0.487
1893.33,-0.37,-0.559,-0.34,-0.411,-0.482
1893.42,-0.3,-0.459,-0.24,-0.311,-0.381
1893.5,-0.18,-0.277,-0.2,-0.2,-0.181
1893.58,-0.28,-0.291,-0.32,-0.29,-0.247
1893.67,-0.22,-0.43,-0.26,-0.382,-0.391
1893.75,-0.19,-0.274,-0.21,-0.222,-0.264
1893.83,-0.19,-0.415,-0.16,-0.326,-0.364
1893.92,-0.37,-0.34,-0.25,-0.403,-0.473
1894,-0.55,-0.465,-0.44,-0.563,-0.58
1894.08,-0.35,-0.374,-0.22,-0.42,-0.41
1894.17,-0.26,-0.38,-0.21,-0.317,-0.426
1894.25,-0.5,-0.388,-0.3,-0.538,-0.486
1894.33,-0.37,-0.421,-0.3,-0.411,-0.457
1894.42,-0.45,-0.493,-0.36,-0.457,-0.493
1894.5,-0.27,-0.315,-0.27,-0.305,-0.249
1894.58,-0.24,-0.341,-0.27,-0.318,-0.33
1894.67,-0.27,-0.458,-0.25,-0.389,-0.356
1894.75,-0.23,-0.444,-0.21,-0.203,-0.283
1894.83,-0.27,-0.42,-0.3,-0.406,-0.374
1894.92,-0.21,-0.41,-0.24,-0.34,-0.466
1895,-0.46,-0.497,-0.44,-0.473,-0.498
1895.08,-0.44,-0.677,-0.41,-0.521,-0.582
1895.17,-0.3,-0.519,-0.28,-0.453,-0.58
1895.25,-0.26,-0.405,-0.18,-0.284,-0.381
1895.33,-0.28,-0.415,-0.2,-0.378,-0.455
1895.42,-0.25,-0.333,-0.29,-0.301,-0.343
1895.5,-0.19,-0.348,-0.2,-0.249,-0.283
1895.58,-0.17,-0.261,-0.22,-0.3,-0.268
1895.67,-1.00E-01,-0.284,-0.13,-0.349,-0.281
1895.75,-1.00E-01,-0.337,-0.13,-0.243,-0.299
1895.83,-0.16,-0.297,-0.15,-0.26,-0.232
1895.92,-0.17,-0.318,-0.07,-0.202,-0.324
1896,-0.27,-0.219,-0.1,-0.226,-0.285
1896.08,-0.16,-0.23,-0.08,-0.305,-0.261
1896.17,-0.27,-0.387,-0.21,-0.448,-0.456
1896.25,-0.32,-0.352,-0.25,-0.489,-0.458
1896.33,-0.2,-0.205,-0.1,-0.272,-0.308
1896.42,-0.16,-0.119,-0.08,-0.144,-0.165
1896.5,-5.00E-02,-0.112,-0.05,-0.099,-0.084
1896.58,-6.00E-02,-0.063,-0.06,-0.111,-0.098
1896.67,-5.00E-02,-0.109,-0.06,-0.188,-0.08
1896.75,1.00E-01,-0.123,0,-0.061,-0.091
1896.83,-0.09,-0.286,-0.16,-0.251,-0.226
